480,test,None,1993,manuell,0,golf,150000,0,benzin,volkswagen,None,70435,14
18300,test,coupe,2011,manuell,190,None,125000,5,diesel,audi,ja,66954,14
9800,test,suv,2004,automatik,163,grand,125000,8,diesel,jeep,None,90480,22
None,test,limousine,1980,manuell,50,andere,40000,7,benzin,volkswagen,nein,19348,4
14500,control,bus,2014,manuell,125,c_max,30000,8,benzin,ford,None,94505,0
999,test,kleinwagen,1998,manuell,101,golf,150000,0,None,volkswagen,None,27472,14
999,control,kombi,1995,manuell,115,passat,150000,11,benzin,volkswagen,None,37269,17
2500,control,kombi,2004,manuell,131,passat,150000,2,None,volkswagen,nein,90762,2
450,test,kleinwagen,1910,None,0,ka,5000,0,benzin,ford,None,24148,8
300,test,None,2016,None,60,polo,150000,0,benzin,volkswagen,None,38871,0
2900,test,None,2018,manuell,90,meriva,150000,5,benzin,opel,nein,49716,8
5555,control,None,2017,manuell,125,c4,125000,4,None,citroen,nein,31139,6
899,control,None,2016,manuell,60,clio,150000,6,benzin,renault,None,37075,0
245,test,limousine,1994,None,0,golf,150000,2,benzin,volkswagen,nein,44145,2
350,test,None,2016,manuell,75,golf,150000,4,benzin,volkswagen,nein,19386,0
1600,control,andere,1991,manuell,75,kadett,70000,0,None,opel,None,2943,27
1500,test,None,2016,None,0,kangoo,150000,1,diesel,renault,nein,46483,2
None,test,None,1990,None,0,corsa,150000,1,benzin,opel,None,56412,1
7500,control,limousine,2002,automatik,306,e_klasse,150000,4,None,mercedes_benz,None,33649,4
12500,test,limousine,2006,automatik,231,5er,150000,11,diesel,bmw,None,46119,12
3900,test,kleinwagen,2008,automatik,61,fortwo,80000,6,benzin,smart,None,21073,2
7750,control,None,2017,manuell,80,golf,100000,1,benzin,volkswagen,None,48499,6
14800,control,cabrio,2008,manuell,170,1er,125000,4,benzin,bmw,None,48691,8
2000,control,None,2017,manuell,90,punto,150000,11,diesel,fiat,ja,66115,0
1400,control,None,2016,manuell,55,andere,5000,1,None,hyundai,None,34454,2
7999,control,limousine,2008,automatik,143,3er,150000,12,diesel,bmw,None,71083,8
4700,control,kombi,2005,manuell,0,signum,150000,0,None,opel,nein,88433,18
2399,test,None,2018,manuell,64,andere,125000,3,None,seat,nein,33397,15
None,control,suv,1994,manuell,286,None,150000,11,None,sonstige_autos,None,53721,8
200,test,coupe,1995,manuell,102,3er,150000,4,benzin,bmw,None,23560,6
10900,test,None,2017,manuell,101,astra,50000,3,None,opel,nein,63607,9
1280,control,limousine,1992,automatik,109,andere,150000,9,benzin,mercedes_benz,None,86163,21
1200,test,coupe,2001,None,0,astra,150000,0,None,opel,None,47249,6
2300,control,None,1997,manuell,150,5er,150000,3,None,bmw,nein,79341,15
800,test,None,2000,manuell,90,golf,150000,2,diesel,volkswagen,None,32584,6
150,control,None,2016,manuell,75,astra,150000,3,benzin,opel,ja,78315,19
350,control,kleinwagen,1997,manuell,54,None,150000,3,None,fiat,ja,45665,2
8000,test,suv,2005,manuell,185,xc_reihe,150000,8,diesel,volvo,None,96472,5
None,control,limousine,1995,manuell,113,e_klasse,150000,4,diesel,mercedes_benz,nein,40589,9
2400,test,limousine,2003,manuell,0,a4,150000,9,diesel,audi,None,40210,0
1222,control,limousine,1984,automatik,180,andere,150000,3,benzin,opel,None,57290,4
250,control,None,2000,None,60,ka,150000,0,None,ford,None,51427,5
8390,test,None,2009,None,0,insignia,150000,0,None,opel,None,29221,2
6450,test,bus,2008,manuell,84,transporter,150000,12,None,volkswagen,nein,44623,11
499,control,limousine,1995,manuell,101,a4,150000,5,benzin,audi,None,85414,7
6500,test,limousine,2004,manuell,163,a4,150000,4,diesel,audi,None,97450,0
